prof,code,lecture,workload,personality,overall,challenge,learning
Bruce Chhay,CS5200,4.5,12.0,4.0,4.5,3.8333333333333335,4.095238095238096
Benjamin Lerner,CS2510,4.771428571428571,12.0,3.9,4.92,4.54,4.698061224489797
Ghita Amor-Tijani,CS1100,4.613247863247863,8.0,3.9135802469135803,4.777777777777778,4.5,4.632071632071633
Yasmil Montes,CS1210,4.0576923076923075,4.0,3.41025641025641,4.038461538461538,3.230769230769231,3.8681318681318686
Ghita Amor-Tijani,CS1800,4.3125,12.0,3.661306042884991,4.168016194331984,4.317211948790896,4.2593984962406015
David Sprague,CS2800,3.608876811594203,12.0,3.453945249597423,3.5869565217391304,3.916501976284585,3.7624568668046927
Gene Cooperman,CS3650,3.8605628654970756,12.0,3.403508771929825,3.6973684210526314,4.144736842105263,3.889413849940165
Christopher Wilson,CS3700,4.719017094017095,16.0,3.907407407407408,4.851851851851852,4.703703703703703,4.6129426129426125
Vanessa Murdock,CS6200,4.25,16.0,3.611111111111112,3.833333333333333,4.166666666666666,4.3809523809523805
Yizhou Sun,CS6220,4.312828947368422,16.0,3.7249999999999996,4.4,4.449999999999999,4.367293233082707
Ian Gorton,CS6510,4.303571428571428,20.0,3.809523809523809,4.357142857142858,4.5,4.408163265306122
William Robertson,CS5770,4.041666666666666,8.0,3.277777777777778,4.166666666666666,4.166666666666667,4.071428571428571
David Smith,CS4120,3.3812499999999996,12.0,3.013157894736842,3.2249999999999996,3.7333333333333334,3.2642857142857147
Penny Rheingans,CS1800,4.19,12.0,3.5733333333333337,3.9808333333333334,4.1,4.102857142857142
Nathaniel Tuck,CS2500,3.8555641420773,12.0,3.0726572726572727,3.6923076923076925,4.007478632478632,3.822750960908856
Jacek Ossowski,CS4800,4.234375,14.0,3.75,4.1875,4.25,4.178571428571429
Ian Gorton,CS6510,4.833333333333334,20.0,4.166666666666667,5.0,5.0,4.80952380952381
William Clinger,CS5010,3.881578947368421,20.0,3.3771929824561404,3.8435672514619883,3.8157894736842106,3.8487394957983194
Yetunde Folajimi,CS5150,2.568181818181818,12.0,2.7121212121212124,2.3181818181818183,3.0454545454545454,2.623376623376624
Michael Weintraub,CS5500,4.607142857142858,20.0,3.927380952380952,4.690476190476191,4.261904761904762,4.53061224489796
Zaihan Yang,CS6200,3.765625,16.0,3.4166666666666665,3.4375,4.1875,3.989795918367347
Olin Shivers III,CS6410,4.5625,16.0,3.722222222222222,4.666666666666666,4.583333333333334,4.4523809523809526
Guevara Noubir,CS6710,4.5,8.0,3.833333333333334,4.5,4.5,4.380952380952381
Thomas Wahl,CS7485,4.8,12.0,3.9666666666666672,5.0,4.6,4.6571428571428575
Peter Desnoyers,CS7680,4.552083333333333,18.0,3.8333333333333335,4.208333333333334,4.375,4.404761904761904
Rajmohan Rajaraman,CS7880,4.916666666666667,16.0,4.055555555555556,5.0,4.666666666666666,4.952380952380952
Scott Mancini,CS5250,4.049839743589744,12.0,3.341491841491841,3.8846153846153846,3.5769230769230766,3.8250915750915757
Zaihan Yang,CS1100,3.9508281573498967,12.0,3.4492753623188412,3.979166666666667,4.200757575757576,4.07837917775806
Jennifer Shire,CS1210,4.468954248366013,4.0,3.81045751633987,4.361111111111111,3.5996732026143787,4.081699346405229
Matthias Felleisen,CS4500,4.562500000000001,20.0,3.6805555555555554,4.458333333333334,4.625,4.6309523809523805
Olin Shivers III,CS4410,4.5625,16.0,3.722222222222222,4.666666666666666,4.583333333333334,4.4523809523809526
Kenneth Baclawski,CS2800,3.5170018115942026,12.0,3.1902053140096616,3.2800000000000002,4.05304347826087,3.76324016563147
