UID,id,instructorId,termId,schoolCode,number,section,type
41018-3987-87,41018,3987,87,CS,5011,07,Recitation/Discussion
41019-2738-87,41019,2738,87,CS,5011,08,Recitation/Discussion
41183-3691-87,41183,3691,87,CS,5011,09,Recitation/Discussion
38766-3129-87,38766,3129,87,CS,5100,01,Lecture
41194-4217-87,41194,4217,87,CS,5100,02,Lecture
41184-4195-87,41184,4195,87,CS,5150,01,Lecture
38371-1679-87,38371,1679,87,CS,5200,01,Lecture
39380-1679-87,39380,1679,87,CS,5200,02,Lecture
41020-2386-87,41020,2386,87,CS,5200,03,Lecture
41020-4105-87,41020,4105,87,CS,5200,03,Lecture
41020-4132-87,41020,4132,87,CS,5200,03,Lecture
41020-4272-87,41020,4272,87,CS,5200,03,Lecture
41179-3424-87,41179,3424,87,CS,5200,04,Lecture
41185-3373-87,41185,3373,87,CS,5200,05,Lecture
40336-3666-87,40336,3666,87,CS,5310,01,Lecture
41021-3987-87,41021,3987,87,CS,5310,02,Lecture
39581-2348-87,39581,2348,87,CS,5340,01,Lecture
41178-4185-87,41178,4185,87,CS,5340,02,Lecture
38280-737-87,38280,737,87,CS,5400,01,Lecture
38700-2099-87,38700,2099,87,CS,5500,01,Lecture
39643-2099-87,39643,2099,87,CS,5500,02,Lecture
41022-4179-87,41022,4179,87,CS,5500,03,Lecture
41022-2693-87,41022,2693,87,CS,5500,03,Lecture
41022-3976-87,41022,3976,87,CS,5500,03,Lecture
41186-3691-87,41186,3691,87,CS,5500,04,Lecture
41023-3296-87,41023,3296,87,CS,5520,01,Lecture
38372-2113-87,38372,2113,87,CS,5600,01,Lecture
39224-1069-87,39224,1069,87,CS,5600,02,Lecture
41024-2290-87,41024,2290,87,CS,5600,03,Lecture
39095-1679-87,39095,1679,87,CS,5610,01,Lecture
38370-3904-87,38370,3904,87,CS,5700,01,Lecture
41025-1803-87,41025,1803,87,CS,5700,02,Lecture
38746-1248-87,38746,1248,87,CS,5770,01,Lecture
38373-593-87,38373,593,87,CS,5800,01,Lecture
40985-4289-87,40985,4289,87,CS,5800,02,Lecture
41026-3090-87,41026,3090,87,CS,5800,03,Lecture
41187-4057-87,41187,4057,87,CS,5800,04,Lecture
41187-4282-87,41187,4282,87,CS,5800,04,Lecture
41238-3885-87,41238,3885,87,CS,5800,05,Lecture
39904-2299-87,39904,2299,87,CS,6120,01,Lecture
38585-3192-87,38585,3192,87,CS,6140,01,Lecture
40444-4276-87,40444,4276,87,CS,6140,02,Lecture
41188-3984-87,41188,3984,87,CS,6140,03,Lecture
41210-4090-87,41210,4090,87,CS,6140,04,Lecture
41210-4318-87,41210,4318,87,CS,6140,04,Lecture
38940-2310-87,38940,2310,87,CS,6200,01,Lecture
41027-4256-87,41027,4256,87,CS,6200,02,Lecture
41027-3628-87,41027,3628,87,CS,6200,02,Lecture
41027-4351-87,41027,4351,87,CS,6200,02,Lecture
41247-4289-87,41247,4289,87,CS,6200,03,Lecture
39094-3326-87,39094,3326,87,CS,6220,01,Lecture
41180-3424-87,41180,3424,87,CS,6220,02,Lecture
38735-296-87,38735,296,87,CS,6240,01,Lecture
39328-296-87,39328,296,87,CS,6240,02,Lecture
40930-1125-87,40930,1125,87,CS,6410,01,Lecture
41029-2738-87,41029,2738,87,CS,6650,01,Lecture
41029-4205-87,41029,4205,87,CS,6650,01,Lecture
41029-4274-87,41029,4274,87,CS,6650,01,Lecture
38699-709-87,38699,709,87,CS,6740,01,Lecture
