Prof,Course,Lecture Effective,Workload,Personality,Overall,Challenge,Learning Value
Karl Lieberherr,CS1100,3.2679924242424243,12.0,2.9722222222222228,3.375,3.875,3.6277056277056277
Karl Lieberherr,CS1100,3.34375,12.0,3.0119047619047623,3.3125,3.8125,3.5306122448979593
Karl Lieberherr,CS1100,2.7215909090909087,12.0,2.6776094276094273,2.7272727272727275,3.6616161616161618,2.551948051948052
Amal Ahmed,CS2500,4.032482305358949,16.0,3.4955303796304804,4.032608695652174,4.287910922587487,4.053616768581379
Mitchell Wand,CS5010,3.8041666666666663,20.0,3.3440418679549118,3.8695652173913047,3.8799516908212563,3.6702216835832955
Ehsan Elhamifar,CS6140,4.349747474747475,20.0,3.3181818181818183,3.931818181818182,4.363636363636363,4.241084312512884
Themis Papageorge,CS5010,4.389285714285713,16.0,3.6606060606060606,4.414285714285715,3.8857142857142852,4.176252319109461
Mardiros Merdinoglu,CS5130,3.480769230769231,12.0,3.1397435897435897,3.4230769230769234,3.8430769230769233,3.7210989010989013
Themis Papageorge,CS5200,4.181907894736843,12.0,3.592543859649123,4.05,3.7,4.0436090225563905
Derek Brodeur,CS5010,2.998363095238095,10.0,2.6416666666666666,3.1875,3.544642857142857,3.1775510204081634
Amit Shesh,CS4300,4.4016812865497075,12.0,3.850877192982457,4.62280701754386,4.526315789473684,4.3312447786132
Guevara Noubir,CS6740,4.604828042328043,16.0,3.9404761904761902,4.5892857142857135,4.607142857142858,4.614701436130007
Michael Weintraub,CS5500,4.575,20.0,3.888888888888889,4.666666666666667,4.083333333333334,4.395238095238095
Mirek Riedewald,CS6240,4.840909090909091,20.0,3.924242424242424,4.795454545454545,4.659090909090909,4.77511961722488
