code,lecture,workload,personality,overall,challenge,learning
CS7290,4.44185606060606,15.0,4.617424242424242,4.359848484848485,4.405303030303031,4.414718614718614
CS7340,3.6609848484848486,16.0,4.388888888888889,3.625,3.5454545454545454,3.491341991341991
CS7400,4.134579425204425,16.0,3.8078904120570787,3.9936868686868685,4.054834054834054,3.9520803270803264
CS7480,4.739583333333333,10.5,4.116666666666666,4.754166666666666,4.5875,4.621428571428571
CS7485,4.565277777777777,13.333333333333334,4.356172839506173,4.777777777777779,4.607407407407408,4.48095238095238
CS7580,4.505952380952381,8.0,4.3730158730158735,4.476190476190476,4.25,4.36734693877551
CS7600,4.035008955505279,13.0,4.077686270700977,4.0146587481146305,4.05933450740436,4.023078228960582
CS7610,4.394886363636363,16.0,4.652777777777778,4.416666666666667,4.78030303030303,4.422077922077922
CS7680,4.566964285714286,14.8,4.057936507936509,4.58452380952381,4.51547619047619,4.557142857142857
CS7780,4.743303571428571,12.0,4.366071428571429,4.836309523809524,4.722402597402597,4.614718614718615
CS7800,4.495715990128723,16.0,4.130335315126336,4.574985686827792,4.508548211334589,4.390125738063597
CS7805,4.209606481481482,14.666666666666666,3.8376543209876544,4.1499999999999995,4.270833333333333,4.151455026455027
CS7810,4.692212301587302,12.0,4.592261904761905,4.944444444444445,4.583333333333334,4.622448979591837
CS7880,4.7837499999999995,13.6,4.35888888888889,4.871666666666667,4.7490476190476185,4.773333333333333
