prof,code,lecture,workload,personality,overall,challenge,learning
Lu Wang,CS4120,4.4071428571428575,8.0,4.3809523809523805,4.214285714285714,4.095238095238095,3.9959183673469387
Lu Wang,CS6120,3.9404896066053907,13.333333333333334,4.21698586082307,3.90020202020202,4.189001396074567,3.9077665849496106
Lu Wang,CS6140,4.021045162160946,14.666666666666666,4.199856231193441,3.939090909090909,4.133445840519012,3.965659802842828
Lu Wang,CS7180,3.875297619047619,14.0,3.423809523809523,3.717857142857143,4.421428571428571,3.966666666666667
Luying Min,CS5010,4.875,16.0,4.111111111111112,5.0,4.833333333333334,4.904761904761905
Magy Seif El-Nasr,CS2510,3.9761363636363636,20.0,3.9333333333333336,3.933333333333333,4.017647058823529,4.0797268907563025
Magy Seif El-Nasr,CS4150,4.075,12.0,3.4777777777777774,4.114285714285714,4.183333333333334,4.123809523809524
Magy Seif El-Nasr,CS4500,3.8125,10.0,3.3888888888888893,4.0,4.25,3.9999999999999996
Magy Seif El-Nasr,CS5150,3.467132505175984,8.0,3.1411499763902513,3.4782608695652177,3.6521739130434785,3.2961469172649305
Magy Seif El-Nasr,CS7340,3.653846153846154,16.0,3.08974358974359,3.346153846153846,3.923076923076923,3.758241758241758
Mardiros Merdinoglu,CS5130,3.6609848484848486,16.0,4.388888888888889,3.625,3.5454545454545454,3.491341991341991
Margaret Whitehead,CS1200,3.480769230769231,12.0,3.1397435897435897,3.4230769230769234,3.8430769230769233,3.7210989010989013
Maria Jump,CS5001,4.232032380745616,4.0,4.409356060908348,4.444410963038413,3.376785832177989,3.8429436498764225
Maria Jump,CS5004,3.3333333333333335,14.0,3.444444444444444,3.583333333333333,3.9166666666666665,3.333333333333333
Maria Zontak,CS5001,3.875,20.0,3.8333333333333335,4.0,4.5,3.857142857142857
Maria Zontak,CS5004,4.1375,12.0,4.283333333333333,4.25,3.9444444444444446,4.185714285714286
Maria Zontak,CS5010,3.587296195652174,19.0,3.1564009661835746,3.125,3.775815217391304,3.9360766045548647
Maria Zontak,CS5330,4.035896739130434,20.0,4.21256038647343,4.195652173913043,4.025,4.046987577639752
Maria Zontak,CS5800,3.897222222222222,14.0,3.802777777777778,3.675,4.025,3.8825396825396825
Marlin Eller,CS5002,3.9791666666666665,16.0,3.569444444444444,4.208333333333334,4.291666666666666,4.059523809523809
Martin Schedlbauer,CS1100,3.8480616605616604,16.0,3.972546126712794,3.68705143095387,4.001902726902727,3.7446739316948374
Martin Schedlbauer,CS1500,3.8817622885086736,12.4,3.365353526401914,4.066095942393277,4.085725278305922,3.929192244713459
Martin Schedlbauer,CS2000,4.48142088316502,11.0,3.748284800488748,4.453047126073442,4.326671539961014,4.473451004485656
Martin Schedlbauer,CS3500,4.4009565467000815,10.666666666666666,3.9004284788353414,4.302357510331648,4.0514888874263875,4.296462679773978
Martin Schedlbauer,CS4100,4.791666666666667,12.0,3.986111111111111,4.875,4.5,4.666666666666666
Martin Schedlbauer,CS4900,4.333029670561719,11.5,4.112093242713989,4.484818313953488,4.361780869324474,4.394720786289805
Martin Schedlbauer,CS5083,4.237723214285714,12.0,3.988095238095238,4.397321428571429,4.276785714285714,4.342261904761905
Matthias Felleisen,CS2500,4.1875,12.0,4.416666666666667,4.0,3.0,4.071428571428571
Matthias Felleisen,CS4500,4.476698500967118,15.0,4.0261451726568005,4.521780303030304,4.546422101449275,4.4805497509772465
Matthias Felleisen,CS4620,4.523692810457517,20.0,4.089460784313726,4.479166666666667,4.623611111111111,4.591619981325863
Matthias Felleisen,CS7480,3.91875,16.0,4.058333333333334,4.5,4.5,3.992857142857143
Megan Giordano,CS1200,4.979166666666667,10.0,4.027777777777778,4.666666666666666,4.65,4.8809523809523805
Melissa Peikin,CS1210,4.303266949100283,4.0,4.445152275707831,4.44520017020017,3.338054692221359,3.9367845558321743
Micah Adler,CS5800,4.191385273507554,4.0,3.98014321677927,4.460930038583859,3.2663136073435823,3.7215337866727154
Michael Gourlay,CS5850,4.575,16.0,3.9000000000000004,4.4,4.6,4.485714285714286
Michael Shah,CS3650,3.28125,16.0,3.125,3.0,3.625,3.0714285714285716
Michael Shah,CS4300,4.583493469500649,13.333333333333334,4.761484794275492,4.741795865633075,4.583203521624575,4.510956069435335
Michael Shah,CS4850,4.646232358870968,9.0,4.68665994623656,4.7734375,4.467271505376344,4.536722350230415
Michael Shah,CS5006,4.482954545454546,16.0,4.625180375180375,4.704545454545455,4.403743315508021,4.402597402597403
Michael Shah,CS5007,4.4770408163265305,20.0,4.554421768707483,4.622448979591837,4.390731292517007,4.335338998821414
Michael Shah,CS5310,4.685,12.0,4.78,4.88,4.58,4.55416149068323
Michael Shah,CS5340,4.581527217741936,10.0,4.675403225806452,4.734375,4.422043010752688,4.439516129032258
Michael Shah,CS5600,4.607142857142858,12.0,4.723809523809524,4.614285714285714,4.030735930735931,4.417219387755102
Michael Shah,CS5850,4.700268817204301,20.0,4.803584229390681,4.758064516129032,4.673655913978495,4.6835637480798775
Michael Weintraub,CS1100,4.482954545454546,16.0,4.625180375180375,4.704545454545455,4.403743315508021,4.402597402597403
Michael Weintraub,CS3500,3.894538221397058,10.0,4.0132303639846745,4.080555555555556,3.947470238095238,3.9590941078625805
